Logging to autocalc_pushing/autocalc_curriculum_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7f38c16935d0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7f38bc741f10>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
-----------------------------------
| rollout/           |            |
|    clip_fraction        | 0.0904       |
|    clip_range           | 0.2          |
|    entropy_loss         | -41.1        |
|    explained_variance   | 0.81         |
|    learning_rate        | 0.00025      |
|    loss                 | -0.829       |
|    n_updates            | 7410         |
|    policy_gradient_loss | -0.0174      |
|    std                  | 23.7         |
|    value_loss           | 0.0756       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.287191     |
| time/                   |              |
|    fps                  | 850          |
|    iterations           | 419          |
|    time_elapsed         | 2018         |
|    total_timesteps      | 1716224      |
| train/                  |              |
|    approx_kl            | 0.0076635545 |
|    clip_fraction        | 0.122        |
|    clip_range           | 0.2          |
|    entropy_loss         | -41.2        |
|    explained_variance   | 0.744        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.799       |
|    n_updates            | 7425         |
|    policy_gradient_loss | -0.0188      |
|    std                  | 23.7         |
|    value_loss           | 0.099        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2001339   |
| time/                   |             |
|    fps                  | 849         |
|    iterations           | 420         |
|    time_elapsed         | 2024        |
|    total_timesteps      | 1720320     |
| train/                  |             |
|    approx_kl            | 0.011311274 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -41.2       |
|    explained_variance   | 0.765       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.82       |
|    n_updates            | 7440        |
|    policy_gradient_loss | -0.022      |
|    std                  | 24          |
|    value_loss           | 0.0722      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.305675    |
| time/                   |             |
|    fps                  | 849         |
|    iterations           | 421         |
|    time_elapsed         | 2030        |
|    total_timesteps      | 1724416     |
| train/                  |             |
|    approx_kl            | 0.008426587 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -41.3       |
|    explained_variance   | 0.776       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.829      |
|    n_updates            | 7455        |
|    policy_gradient_loss | -0.0209     |
|    std                  | 24          |
|    value_loss           | 0.0843      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3480393   |
| time/                   |             |
|    fps                  | 848         |
|    iterations           | 422         |
|    time_elapsed         | 2036        |
|    total_timesteps      | 1728512     |
| train/                  |             |
|    approx_kl            | 0.011744011 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -41.3       |
|    explained_variance   | 0.766       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.82       |
|    n_updates            | 7470        |
|    policy_gradient_loss | -0.0213     |
|    std                  | 24.2        |
|    value_loss           | 0.0875      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3127741   |
| time/                   |             |
|    fps                  | 848         |
|    iterations           | 423         |
|    time_elapsed         | 2041        |
|    total_timesteps      | 1732608     |
| train/                  |             |
|    approx_kl            | 0.011854457 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -41.4       |
|    explained_variance   | 0.76        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.827      |
|    n_updates            | 7485        |
